,Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Regeion,Year,Sex Code,Age,Value(%),Value Lower Bound(%),Value Upper Bound(%),Nature of the Data Code
6,268,Georgia,GEO,43.3713607788086,42.0481300354004,Northern Africa and Western Asia,2018,F,15 to 49 years old,2.9,1.3,6.3,E
13,70,Bosnia and Herzegovina,BIH,17.7858428955078,44.16845703125,Europe and Northern America,2018,F,15 to 49 years old,3.4,1.9,6.1,E
17,688,Serbia,SRB,20.8058757781982,44.0314559936523,Europe and Northern America,2018,F,15 to 49 years old,3.9,2.0,7.4,E
21,144,Sri Lanka,LKA,80.7048950195313,7.61469316482544,Central and Southern Asia,2018,F,15 to 49 years old,4.1,1.7,9.0,E
24,807,North Macedonia,MKD,21.7007904052734,41.6004791259766,Europe and Northern America,2018,F,15 to 49 years old,4.2,2.0,8.4,E
26,233,Estonia,EST,25.840934753418,58.684871673584,Europe and Northern America,2018,F,15 to 49 years old,4.2,1.9,8.9,E
30,499,Montenegro,MNE,19.252140045166,42.7871704101563,Europe and Northern America,2018,F,15 to 49 years old,4.4,2.3,8.1,E
32,192,Cuba,CUB,-79.5446014404297,22.1003036499023,Latin America and the Caribbean,2018,F,15 to 49 years old,4.6,2.3,9.1,E
33,51,Armenia,ARM,44.9383926391602,40.2949981689453,Northern Africa and Western Asia,2018,F,15 to 49 years old,4.6,2.3,8.9,E
39,31,Azerbaijan,AZE,50.0106468200684,40.3922958374023,Northern Africa and Western Asia,2018,F,15 to 49 years old,5.2,2.8,9.2,E
40,600,Paraguay,PRY,-60.5485420227051,-21.7021617889404,Latin America and the Caribbean,2018,F,15 to 49 years old,5.5,3.1,9.5,E
43,222,El Salvador,SLV,-88.8686294555664,13.7360353469849,Latin America and the Caribbean,2018,F,15 to 49 years old,5.7,3.6,8.8,E
47,608,Philippines,PHL,120.860145568848,14.1659173965454,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,5.9,3.8,9.2,E
49,398,Kazakhstan,KAZ,66.6535949707031,48.0196342468262,Central and Southern Asia,2018,F,15 to 49 years old,6.0,3.0,11.4,E
50,462,Maldives,MDV,73.0967254638672,-0.614385008811951,Central and Southern Asia,2018,F,15 to 49 years old,6.1,3.5,10.5,E
51,8,Albania,ALB,20.0666084289551,41.1389694213867,Europe and Northern America,2018,F,15 to 49 years old,6.2,4.4,8.9,E
53,112,Belarus,BLR,28.0494022369385,53.5419311523438,Europe and Northern America,2018,F,15 to 49 years old,6.3,3.2,11.9,E
55,558,Nicaragua,NIC,-85.0306015014648,12.8421087265015,Latin America and the Caribbean,2018,F,15 to 49 years old,6.4,3.7,10.9,E
56,76,Brazil,BRA,-53.0843276977539,-10.7766857147217,Latin America and the Caribbean,2018,F,15 to 49 years old,6.5,4.0,10.2,E
57,642,Romania,ROU,24.9848098754883,45.8389358520508,Europe and Northern America,2018,F,15 to 49 years old,6.9,3.9,11.9,E
58,340,Honduras,HND,-86.5997467041016,14.822431564331,Latin America and the Caribbean,2018,F,15 to 49 years old,7.2,4.4,11.7,E
59,188,Costa Rica,CRI,-84.1971282958984,9.97099876403809,Latin America and the Caribbean,2018,F,15 to 49 years old,7.2,3.6,13.9,E
61,320,Guatemala,GTM,-91.2312774658203,15.0027370452881,Latin America and the Caribbean,2018,F,15 to 49 years old,7.3,4.3,12.1,E
63,156,China,CHN,104.140335083008,32.3095512390137,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,7.6,3.0,17.7,E
64,740,Suriname,SUR,-55.9062652587891,4.13260316848755,Latin America and the Caribbean,2018,F,15 to 49 years old,7.7,4.0,14.0,E
66,591,Panama,PAN,-81.2661666870117,8.45096588134766,Latin America and the Caribbean,2018,F,15 to 49 years old,7.8,4.5,13.2,E
68,418,Lao People's Dem. Rep.,LAO,101.990196228027,20.2748279571533,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,8.0,4.2,15.1,E
70,218,Ecuador,ECU,-78.3700561523438,-1.4477858543396,Latin America and the Caribbean,2018,F,15 to 49 years old,8.1,4.7,13.8,E
72,174,Comoros,COM,43.3423461914063,-11.6612176895142,Sub-Saharan Africa,2018,F,15 to 49 years old,8.2,4.0,15.7,E
74,64,Bhutan,BTN,90.4509811401367,27.3959865570068,Central and Southern Asia,2018,F,15 to 49 years old,8.6,5.2,13.8,E
75,804,Ukraine,UKR,31.4027080535889,49.0073585510254,Europe and Northern America,2018,F,15 to 49 years old,8.7,5.4,13.4,E
76,360,Indonesia,IDN,113.91739654541,-0.994582176208496,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,8.9,3.8,19.6,E
77,498,Republic of Moldova,MDA,28.4650630950928,47.2023696899414,Europe and Northern America,2018,F,15 to 49 years old,9.1,5.2,15.2,E
78,116,Cambodia,KHM,104.922836303711,12.7116374969482,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.1,6.0,14.0,E
79,764,Thailand,THA,101.020294189453,15.1308927536011,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.3,3.9,20.4,E
80,704,Viet Nam,VNM,105.80249786377,10.0964307785034,Eastern and South-Eastern Asia,2018,F,15 to 49 years old,9.5,5.1,17.4,E
81,214,Dominican Republic,DOM,-70.4984741210938,18.8983211517334,Latin America and the Caribbean,2018,F,15 to 49 years old,9.6,6.0,15.0,E
82,484,Mexico,MEX,-102.51481628418,23.933780670166,Latin America and the Caribbean,2018,F,15 to 49 years old,9.9,6.3,15.3,E
83,270,Gambia,GMB,-15.3994474411011,13.452959060669,Sub-Saharan Africa,2018,F,15 to 49 years old,10.0,5.3,18.3,E
84,788,Tunisia,TUN,9.57273769378662,34.1143989562988,Northern Africa and Western Asia,2018,F,15 to 49 years old,10.1,4.9,19.5,E
85,288,Ghana,GHA,-1.2056235074997,7.96482515335083,Sub-Saharan Africa,2018,F,15 to 49 years old,10.2,5.8,17.3,E
