Geographic Area Code,Geographic Area Name,ISO3,Longitude,Latitude,SDG Region,Sex Code,Year,"Youth literacy rate in percent of persons aged 15-24 years, by sex",Nature of the Data Code,Reporting Type Code
4,Afghanistan,AFG,66.0268783569336,33.831600189209,Central and Southern Asia,F,2021,41.59,C,G
4,Afghanistan,AFG,66.0268783569336,33.831600189209,Central and Southern Asia,M,2021,71.24,C,G
4,Afghanistan,AFG,66.0268783569336,33.831600189209,Central and Southern Asia,_T,2021,55.93,C,G
24,Angola,AGO,17.5781707763672,-12.3372478485107,Sub-Saharan Africa,F,2022,80.7,E,G
24,Angola,AGO,17.5781707763672,-12.3372478485107,Sub-Saharan Africa,M,2022,85.9,E,G
24,Angola,AGO,17.5781707763672,-12.3372478485107,Sub-Saharan Africa,_T,2022,83.3,E,G
8,Albania,ALB,20.0666084289551,41.1389694213867,Europe and Northern America,F,2022,99.9,E,G
8,Albania,ALB,20.0666084289551,41.1389694213867,Europe and Northern America,M,2022,99.1,E,G
8,Albania,ALB,20.0666084289551,41.1389694213867,Europe and Northern America,_T,2022,99.5,E,G
51,Armenia,ARM,44.9383926391602,40.2949981689453,Northern Africa and Western Asia,F,2020,99.9,C,G
51,Armenia,ARM,44.9383926391602,40.2949981689453,Northern Africa and Western Asia,M,2020,99.85,C,G
51,Armenia,ARM,44.9383926391602,40.2949981689453,Northern Africa and Western Asia,_T,2020,99.87,C,G
31,Azerbaijan,AZE,50.0106468200684,40.3922958374023,Northern Africa and Western Asia,F,2019,99.91,C,G
31,Azerbaijan,AZE,50.0106468200684,40.3922958374023,Northern Africa and Western Asia,M,2019,99.96,C,G
31,Azerbaijan,AZE,50.0106468200684,40.3922958374023,Northern Africa and Western Asia,_T,2019,99.93,C,G
108,Burundi,BDI,29.8908100128174,-3.36638736724854,Sub-Saharan Africa,F,2022,93.16,E,G
108,Burundi,BDI,29.8908100128174,-3.36638736724854,Sub-Saharan Africa,M,2022,93.97,E,G
108,Burundi,BDI,29.8908100128174,-3.36638736724854,Sub-Saharan Africa,_T,2022,93.56,E,G
204,Benin,BEN,2.33993363380432,9.65401649475098,Sub-Saharan Africa,F,2022,59.1,E,G
204,Benin,BEN,2.33993363380432,9.65401649475098,Sub-Saharan Africa,M,2022,73.6,E,G
204,Benin,BEN,2.33993363380432,9.65401649475098,Sub-Saharan Africa,_T,2022,66.4,E,G
854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,F,2022,51.68,E,G
854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,M,2022,55.56,E,G
854,Burkina Faso,BFA,-1.74284386634827,12.2749109268188,Sub-Saharan Africa,_T,2022,53.64,E,G
50,Bangladesh,BGD,89.1766052246094,22.8696155548096,Central and Southern Asia,F,2020,95.86,C,G
50,Bangladesh,BGD,89.1766052246094,22.8696155548096,Central and Southern Asia,M,2020,93.16,C,G
50,Bangladesh,BGD,89.1766052246094,22.8696155548096,Central and Southern Asia,_T,2020,94.46,C,G
70,Bosnia and Herzegovina,BIH,17.7858428955078,44.16845703125,Europe and Northern America,F,2022,99.7,E,G
70,Bosnia and Herzegovina,BIH,17.7858428955078,44.16845703125,Europe and Northern America,M,2022,99.7,E,G
70,Bosnia and Herzegovina,BIH,17.7858428955078,44.16845703125,Europe and Northern America,_T,2022,99.7,E,G
112,Belarus,BLR,28.0494022369385,53.5419311523438,Europe and Northern America,F,2019,99.9,C,G
112,Belarus,BLR,28.0494022369385,53.5419311523438,Europe and Northern America,M,2019,99.85,C,G
112,Belarus,BLR,28.0494022369385,53.5419311523438,Europe and Northern America,_T,2019,99.87,C,G
68,Bolivia (Plurinational State of),BOL,-64.662239074707,-16.7127342224121,Latin America and the Caribbean,F,2021,99.54,C,G
68,Bolivia (Plurinational State of),BOL,-64.662239074707,-16.7127342224121,Latin America and the Caribbean,M,2021,99.5,C,G
68,Bolivia (Plurinational State of),BOL,-64.662239074707,-16.7127342224121,Latin America and the Caribbean,_T,2021,99.52,C,G
76,Brazil,BRA,-53.0843276977539,-10.7766857147217,Latin America and the Caribbean,F,2022,99.62,E,G
76,Brazil,BRA,-53.0843276977539,-10.7766857147217,Latin America and the Caribbean,M,2022,99.23,E,G
76,Brazil,BRA,-53.0843276977539,-10.7766857147217,Latin America and the Caribbean,_T,2022,99.42,E,G
64,Bhutan,BTN,90.4509811401367,27.3959865570068,Central and Southern Asia,F,2022,98.0,E,G
64,Bhutan,BTN,90.4509811401367,27.3959865570068,Central and Southern Asia,M,2022,98.0,E,G
64,Bhutan,BTN,90.4509811401367,27.3959865570068,Central and Southern Asia,_T,2022,98.0,E,G
72,Botswana,BWA,23.8138027191162,-22.1881008148193,Sub-Saharan Africa,F,2013,99.14,E,G
72,Botswana,BWA,23.8138027191162,-22.1881008148193,Sub-Saharan Africa,M,2013,95.75,E,G
72,Botswana,BWA,23.8138027191162,-22.1881008148193,Sub-Saharan Africa,_T,2013,97.46,E,G
